label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,broker,base_contribution,total_contributed,final_contribution,optimal_deadband,rotations,total_costs,total_taxes
xtb_ike_contrib=500,540.1687502172244,0.16788241693449943,1.470820040699934,3.1433293100388076,-0.22251800808539499,0.7544666536385305,268960.86885796057,157,xtb_ike,500,88817.62000000001,783.15,0.054,13,13281.674802856729,0.0
bossa_ike_promo_contrib=500,556.189860411333,0.17257649321113688,1.4858358440900954,3.2146140897102784,-0.2085262609690232,0.8276007655303104,278038.0189401854,157,bossa_ike_promo,500,88817.62000000001,783.15,0.054,13,2315.6080559694883,0.0
bossa_ike_standard_contrib=500,533.1963225640238,0.16257850669266136,1.47693569849786,3.189237700220077,-0.2127469669376489,0.7641871892834518,259085.48354171283,157,bossa_ike_standard,500,88817.62000000001,783.15,0.054,13,10094.423418888962,0.0
mbank_ike_contrib=500,547.5170379629843,0.1703591414227664,1.4821191426972538,3.1993397710091362,-0.21075665150173042,0.8083215414976721,273710.0019435292,157,mbank_ike,500,88817.62000000001,783.15,0.054,13,4408.675040418552,0.0
taxed_account_contrib=500,469.4829336696027,0.14838757418287107,1.4378049791539635,3.059213790803272,-0.2143384220549664,0.6923050601950291,234536.2129172306,157,taxed_account,500,88817.62000000001,783.15,0.054,13,2226.723527644118,34644.174990178755
xtb_ike_contrib=1000,540.1688612344042,0.16788240516539232,1.4708200788373451,3.143329603054403,-0.2225180193894164,0.754466562420685,537921.8480669977,157,xtb_ike,1000,177635.24,1566.3,0.054,13,26563.35972825017,0.0
bossa_ike_promo_contrib=1000,573.8711879118141,0.17698460908371116,1.4886767634411617,3.1931830720960774,-0.21397067158566438,0.8271442425830512,573722.0204071783,157,bossa_ike_promo,1000,177635.24,1566.3,0.054,13,4766.75296760812,0.0
bossa_ike_standard_contrib=1000,547.7874920205838,0.16843022982471562,1.4781765772870816,3.170893283339885,-0.21804775890515873,0.7724465074551645,540007.4409357465,157,bossa_ike_standard,1000,177635.24,1566.3,0.054,13,18843.72241172664,0.0
mbank_ike_contrib=1000,564.4534785088961,0.17465483933861586,1.4850602273287719,3.1861045118655613,-0.21505146575928985,0.8121536801525896,564322.5715518782,157,mbank_ike,1000,177635.24,1566.3,0.054,13,9079.136835725334,0.0
taxed_account_contrib=1000,469.4830221045831,0.14838756127172775,1.4378050117281478,3.0592139814972206,-0.2143384367387637,0.6923049525297366,469072.5140043135,157,taxed_account,1000,177635.24,1566.3,0.054,13,4453.4486712788375,69288.377033175
xtb_ike_contrib=2000,540.1685568612658,0.16788240198644352,1.4708199474185388,3.1433292110393305,-0.2225180151999079,0.754466562339322,1075843.0910401964,157,xtb_ike,2000,355270.12,3132.6,0.054,13,53126.70466689288,0.0
bossa_ike_promo_contrib=2000,578.9590458961252,0.17822637455238424,1.488877251598888,3.167303712348893,-0.21440350993595422,0.8312661234213159,1157599.4155267577,157,bossa_ike_promo,2000,355270.12,3132.6,0.054,13,9620.891694769343,0.0
bossa_ike_standard_contrib=2000,552.0434268139196,0.17052609958022918,1.478307245016968,3.145067468332058,-0.21827270539545668,0.7812525128658558,1096133.1780320425,157,bossa_ike_standard,2000,355270.12,3132.6,0.054,13,36211.00419711442,0.0
mbank_ike_contrib=2000,569.5410333162794,0.17591850168319434,1.4852201384670785,3.158159498683905,-0.21577396771510646,0.815290665255159,1138799.9024992937,157,mbank_ike,2000,355270.12,3132.6,0.054,13,18335.99476434766,0.0
taxed_account_contrib=2000,469.48273414044064,0.14838755765048164,1.4378048688081748,3.0592135373600486,-0.21433856519282316,0.6923045207333048,938144.4538069752,157,taxed_account,2000,355270.12,3132.6,0.054,13,8906.894173652548,138576.7131641411
