date,action,ticker,shares,price,cost,tax,gain
2013-02-28,BUY,IWDA.L,31.0,32.755001068115234,2.074,,
2013-11-29,SELL,IWDA.L,263.0,38.66999816894531,20.340419036865235,0.0,1010.9145774841309
2013-11-29,BUY,CNDX.L,60.0,188.25999450683597,22.68381631689453,,
2016-03-31,SELL,CNDX.L,175.0,246.3600006103516,86.22600021362307,0.0,6012.16059875489
2016-03-31,BUY,CBU0.L,327.0,141.38499450683594,92.89678684134326,,
2016-04-29,SELL,CBU0.L,327.0,141.30999755859375,92.41673840332031,0.0,-24.524002075195312
2016-04-29,BUY,CNDX.L,199.0,236.41000366210935,94.55095178670354,,
2016-05-31,SELL,CNDX.L,199.0,247.9600067138672,98.68808267211914,0.0,2298.450607299812
2016-05-31,BUY,CBU0.L,356.0,141.1699981689453,100.83521493238551,,
2016-06-30,SELL,CBU0.L,356.0,145.6649932861328,103.71347521972656,0.0,1600.21826171875
2016-06-30,BUY,CNDX.L,218.0,241.02999877929688,105.7003940755188,,
2016-09-30,SELL,CNDX.L,224.0,268.29998779296875,120.19839453125,0.0,5987.577484130859
2016-09-30,BUY,EIMI.L,2641.0,23.31999969482422,123.43697610656697,,
2016-10-31,SELL,EIMI.L,2641.0,23.13999938964844,122.22547677612306,0.0,-475.380805969231
2016-10-31,BUY,CNDX.L,233.0,265.07000732421875,124.06872958886312,,
2016-11-30,SELL,CNDX.L,233.0,266.7900085449219,124.3241439819336,0.0,400.7602844238281
2016-11-30,BUY,EIMI.L,2871.0,21.96999931335449,126.44730441056919,,
2017-04-28,SELL,EIMI.L,3044.0,25.18000030517578,153.29584185791015,0.0,9507.952926635742
2017-04-28,BUY,CNDX.L,251.0,308.1400146484375,155.20656801130372,,
2017-12-29,SELL,CNDX.L,270.0,358.2099914550781,193.4333953857422,0.0,13122.353973388672
2017-12-29,BUY,EIMI.L,3253.0,30.25,197.21617671128698,,
2018-03-30,SELL,EIMI.L,3318.0,30.770000457763672,204.18972303771974,0.0,1626.0615215301514
2018-03-30,BUY,CNDX.L,283.0,363.0700073242188,205.96493747484925,,
2018-04-30,SELL,CNDX.L,283.0,370.6799926757813,209.80487585449222,0.0,2153.6258544921875
2018-04-30,BUY,EIMI.L,3473.0,30.38999938964844,211.54326955717494,,
2018-06-29,SELL,EIMI.L,3508.0,28.049999237060547,196.7987946472168,0.0,-8172.670578002944
2018-06-29,BUY,CNDX.L,251.0,394.010009765625,198.58227903276028,,
2019-01-31,SELL,CNDX.L,263.0,385.0750122070313,202.54945642089848,0.0,-2382.644165039048
2019-01-31,BUY,CBU0.L,730.0,141.94000244140625,207.74147579177486,,
2019-03-29,SELL,CBU0.L,737.0,145.14999389648438,213.951091003418,0.0,2369.1937408447266
2019-03-29,BUY,CNDX.L,261.0,411.2300109863281,215.90472561987397,,
2021-06-30,SELL,CNDX.L,301.0,821.3400268554688,494.4466961669922,0.0,118716.68533325195
2021-06-30,BUY,EIMI.L,6605.0,38.59000015258789,510.8132341628042,,
2021-07-30,SELL,EIMI.L,6605.0,36.52000045776367,482.42920604705813,0.0,-13672.347984313965
2021-07-30,BUY,CNDX.L,286.0,843.3599853515625,483.7417533137565,,
2021-09-30,SELL,CNDX.L,287.0,838.1400146484375,481.09236840820313,0.0,-1533.9415893554688
2021-09-30,BUY,IWDA.L,2892.0,83.37000274658203,483.2590824916017,,
2021-10-29,SELL,IWDA.L,2892.0,87.5199966430664,506.2156605834961,0.0,12001.782348632812
2021-10-29,BUY,CNDX.L,284.0,889.4199829101562,507.5433977027172,,
2022-02-28,SELL,CNDX.L,287.0,807.3499755859375,463.4188859863281,0.0,-23556.992126464844
2022-02-28,BUY,IWDA.L,2823.0,82.66999816894531,467.74298020240946,,
2022-03-31,SELL,IWDA.L,2823.0,85.58000183105469,483.18469033813477,0.0,8214.940338134766
2022-03-31,BUY,CNDX.L,284.0,849.6400146484375,484.6459455375979,,
2022-05-31,SELL,CNDX.L,285.0,712.1599731445312,405.9311846923828,0.0,-39078.64678955078
2022-05-31,BUY,IB01.L,2001.0,102.05999755859376,409.4526278180364,,
2023-05-31,SELL,IB01.L,2128.0,104.9000015258789,446.45440649414064,0.0,5921.378173828096
2023-05-31,BUY,IWDA.L,2831.0,79.25,449.7378654170682,,
2023-06-30,SELL,IWDA.L,2831.0,84.26000213623047,477.0801320953369,0.0,14183.316047668457
2023-06-30,BUY,CNDX.L,277.0,862.4349975585938,478.9678015173803,,
2025-04-30,SELL,CNDX.L,298.0,1106.4000244140625,659.4144145507813,0.0,68858.9077758789
2025-04-30,BUY,EIMI.L,9667.0,35.06999969482422,679.4488357970018,,
2025-05-30,SELL,EIMI.L,9667.0,36.77000045776367,710.9111888504028,0.0,16433.907375335693
2025-05-30,BUY,IWDA.L,3157.0,112.62999725341795,712.6715504983783,,
2025-06-30,SELL,IWDA.L,3157.0,117.66000366210938,742.9052631225586,0.0,15879.730232238828
2025-06-30,BUY,CNDX.L,286.0,1296.0,744.655477335614,,
2025-07-31,SELL,CNDX.L,286.0,1342.199951171875,767.7383720703125,0.0,13213.18603515625
2025-07-31,BUY,IWDA.L,3204.0,120.08000183105467,771.1926817071147,,
2025-08-29,SELL,IWDA.L,3204.0,122.36000061035156,784.0828839111329,0.0,7305.116088867246
2025-08-29,BUY,CNDX.L,292.0,1341.800048828125,785.8279827536127,,
2025-12-31,SELL,CNDX.L,295.0,1467.5999755859375,865.8839855957032,0.0,36789.778564453125
2025-12-31,BUY,EIMI.L,9606.0,45.119998931884766,868.6277822258203,,
